sta,net,dist,azi,phase,time,res,,wt,sta
CMJI,IA,0.7,350,P,8:41:40,0,M,1,CMJI
BKJI,IA,1.1,358,P,8:42:01,15.7,AX,0,BKJI
KPJI,IA,1.2,17,P,8:41:46,-0.5,M,1,KPJI
CIJI,IA,1.2,342,P,8:41:47,0.1,A,1,CIJI
CIJI,IA,1.2,342,S,8:42:04,1.1,M,1,CIJI
BBJI,IA,1.4,318,P,8:41:49,0,A,1,BBJI
BBJI,IA,1.4,318,P,8:42:06,17.5,AX,0,BBJI
BBJI,IA,1.4,318,S,8:42:05,-1,M,1,BBJI
MBJI,IA,1.5,46,P,8:41:49,-1.3,M,1,MBJI
CTJI,IA,1.6,22,P,8:41:52,-0.1,M,1,CTJI
PKJM,IA,1.7,355,P,8:41:53,-0.4,M,1,PKJM
KWJI,IA,1.8,52,P,8:41:58,3.5,MX,0,KWJI
PBJI,IA,1.8,322,P,8:41:54,0.3,M,1,PBJI
CBJM,IA,2,322,P,8:41:56,-0.6,M,1,CBJM
CWJM,IA,2.1,327,P,8:41:59,1.2,A,1,CWJM
GKJM,IA,2.1,72,P,8:42:00,1.1,M,1,GKJM
GGJM,IA,2.9,64,P,8:42:31,21.1,AX,0,GGJM
SNJI,IA,3.2,78,P,8:42:58,43.5,AX,0,SNJI
PPCM,IA,12,68,P,8:44:39,23.5,AX,0,PPCM
